calamari,fish,shrimp,chicken,koefte,lamb,steak
6,6,12,40,23,50,36
8,8,5,44,36,37,30
6,5,11,19,12,22,16
4,4,2,28,13,28,22
7,4,9,22,18,29,29
7,4,11,33,23,23,37
3,7,3,39,27,31,22
5,3,10,35,18,38,37
5,13,10,71,46,45,35
1,0,7,32,12,29,18
2,3,5,20,18,26,19
2,4,8,17,13,17,17
8,2,7,37,21,31,30
6,5,9,45,31,44,27
7,12,12,47,32,52,40
10,5,11,49,32,45,54
6,2,5,24,9,22,18
5,4,6,31,18,28,22
3,11,14,40,15,57,39
5,9,14,40,24,25,28
6,6,11,35,23,41,41
5,5,15,44,22,44,50
4,8,16,38,26,39,50
8,5,10,30,17,28,31
5,7,2,25,19,29,28
5,6,15,31,25,23,28
4,10,9,33,21,34,50
4,7,16,44,18,50,40
0,3,2,1,2,0,4
25,14,23,78,71,63,59
3,4,6,32,19,40,26
0,3,7,24,21,22,24
2,7,8,39,21,31,17
7,7,12,38,21,27,24
5,5,8,38,24,36,43
7,3,16,43,21,37,23
8,12,27,67,35,70,59
6,4,13,22,13,13,24
3,10,4,22,15,30,19
2,5,10,29,18,29,30
4,7,10,36,22,20,27
3,4,5,29,20,41,26
7,7,19,36,22,48,36
4,10,13,57,43,57,44
1,1,12,24,22,16,22
4,5,7,30,30,26,18
4,6,10,25,21,22,21
5,3,16,33,21,24,18
7,5,15,52,20,31,33
4,6,14,42,25,36,27
6,9,14,54,44,48,48
4,7,8,37,21,24,29
4,8,6,27,22,21,26
4,5,5,38,32,33,19
1,5,11,30,18,33,30
4,7,11,33,21,33,26
5,11,9,35,31,34,27
13,7,11,46,27,50,47
1,3,7,19,8,16,15
4,11,4,26,14,14,13
3,5,15,23,21,28,30
2,7,13,24,18,24,22
7,4,9,35,11,25,24
9,5,15,42,29,35,26
11,11,28,57,48,50,55
4,11,5,27,16,29,21
3,3,8,21,14,31,24
5,10,11,24,14,28,22
4,10,12,29,13,35,20
3,3,9,21,30,27,23
5,8,10,28,18,36,26
6,16,12,58,44,40,38
4,0,6,10,11,18,13
2,1,3,32,14,20,30
4,5,9,31,24,28,33
1,11,12,28,24,25,18
7,3,15,43,11,34,30
7,4,11,32,38,57,30
3,7,12,42,25,29,37
4,4,10,17,5,13,25
6,6,11,42,42,46,53
1,3,1,3,4,7,5
0,0,0,0,0,0,0
4,0,3,12,2,16,18
11,5,12,54,34,44,44
7,5,17,52,31,40,40
6,5,4,27,10,18,19
8,7,16,62,38,48,42
3,2,1,11,5,9,8
0,4,1,21,13,13,10
7,6,16,45,30,37,35
8,9,11,46,33,46,35
4,6,10,45,26,26,43
2,5,7,26,27,34,20
2,3,5,25,19,38,32
8,2,7,31,19,16,19
4,7,9,26,16,23,21
5,4,7,31,21,34,27
12,3,9,37,27,34,24
11,7,18,55,52,57,43
2,1,10,28,14,12,13
2,5,13,26,15,25,17
11,3,10,39,17,28,27
9,5,5,37,25,43,29
4,9,12,24,24,36,30
9,9,11,36,19,39,29
10,11,16,61,58,66,42
2,4,4,30,10,30,12
2,1,1,20,16,22,14
6,3,8,29,19,19,19
8,10,11,35,23,45,23
6,5,10,26,17,15,23
6,8,8,27,19,21,21
7,4,10,51,33,64,48
4,6,7,32,13,24,32
1,5,3,14,10,14,11
3,2,3,30,17,31,16
24,4,12,31,18,29,22
8,11,16,33,23,36,29
4,6,14,30,20,27,27
6,10,16,45,44,67,48
0,1,12,17,11,23,24
0,4,8,16,11,16,16
2,5,12,24,20,27,27
1,3,11,26,28,35,22
4,2,9,23,24,22,24
5,7,17,29,31,47,24
10,5,11,56,34,38,37
5,6,5,27,17,17,23
2,3,1,28,16,13,23
5,3,8,31,19,25,26
4,6,4,29,13,14,24
4,1,5,21,15,22,29
14,7,14,52,31,42,44
6,6,16,59,22,48,37
3,6,7,24,11,10,16
1,2,9,15,16,28,18
1,8,5,26,21,29,13
5,5,8,18,24,14,23
3,2,10,31,22,23,19
2,7,8,25,26,32,29
14,2,17,43,33,47,37
7,6,8,22,17,27,22
4,2,12,24,19,17,21
6,4,12,38,23,31,19
5,6,7,22,25,25,17
4,3,10,40,23,28,26
4,11,12,31,20,36,34
8,7,18,51,42,51,41
4,3,9,19,19,26,15
0,3,10,31,18,12,12
3,0,3,22,15,24,15
3,9,9,27,27,27,29
7,3,14,28,30,35,26
5,5,15,44,23,31,31
9,8,12,34,33,40,30
6,5,7,31,20,20,22
1,4,11,18,16,12,16
5,1,5,24,14,23,18
4,4,5,21,20,20,17
8,0,1,25,31,24,17
6,3,8,31,39,38,19
10,7,12,51,33,52,44
4,5,9,32,18,19,14
4,2,4,18,20,23,12
6,3,6,29,19,26,23
1,4,6,25,23,30,19
8,3,15,36,22,25,20
7,9,7,31,25,38,30
4,7,12,39,26,38,45
4,4,6,22,13,26,17
0,2,6,16,13,8,6
5,1,6,24,23,28,21
4,5,14,27,19,38,19
4,5,7,27,19,29,15
4,6,11,35,25,35,30
11,7,16,51,30,56,44
6,1,4,21,12,13,11
2,9,9,20,21,23,21
9,4,5,16,22,17,21
1,3,14,36,16,23,22
10,6,16,36,21,25,17
5,5,13,20,19,34,18
13,13,27,56,49,63,60
2,0,4,26,15,21,16
4,2,11,14,19,15,9
4,5,6,17,15,30,19
2,3,7,40,23,28,28
1,2,13,45,22,27,28
9,6,13,37,27,59,28
2,7,14,47,31,45,31
7,3,9,16,16,25,12
3,8,10,17,23,19,18
6,1,4,25,18,28,14
10,7,12,39,22,33,27
5,7,18,24,21,21,18
1,3,11,13,9,14,12
5,4,11,41,21,44,26
2,2,5,17,7,14,11
2,6,6,12,11,17,9
5,7,5,23,16,22,25
7,3,10,26,19,15,18
2,4,11,19,17,24,16
3,6,18,36,18,16,39
5,3,23,39,31,43,27
8,4,4,19,10,13,16
3,4,11,18,18,19,12
3,5,10,27,24,22,13
5,5,12,26,24,41,22
8,6,11,26,27,34,27
8,7,17,37,48,45,49
8,7,15,50,29,55,40
5,3,6,17,25,24,15
3,4,3,19,10,24,11
5,2,9,21,15,27,19
6,5,6,29,18,33,29
2,4,13,17,22,29,8
4,2,9,19,30,34,24
8,5,16,38,43,43,22
4,2,3,9,8,18,14
1,3,11,17,28,14,19
5,6,9,32,23,29,28
2,0,7,23,30,28,21
1,6,15,40,28,36,21
12,9,14,27,28,43,21
5,8,20,36,35,39,32
3,2,4,8,7,11,18
2,4,7,23,14,17,20
3,3,10,29,23,26,19
5,6,13,32,19,27,23
3,5,15,26,23,30,21
7,9,10,25,28,28,16
3,4,11,42,26,37,28
4,2,2,12,9,15,14
5,4,11,15,28,24,16
1,5,6,30,24,29,24
3,6,9,29,14,30,23
6,4,16,31,19,45,22
5,7,7,55,44,48,33
5,6,16,38,30,39,27
2,2,11,21,9,22,17
3,7,10,18,17,16,16
5,2,8,23,25,33,26
7,9,5,25,21,17,21
3,4,3,18,25,21,18
0,9,10,32,27,32,16
6,5,8,25,20,33,17
4,5,8,7,11,17,6
3,0,5,8,9,11,9
3,1,8,19,13,15,15
2,4,9,26,8,27,23
3,2,8,24,23,23,11
5,4,15,31,17,32,22
9,4,12,37,22,22,27
1,1,4,9,10,10,11
1,7,4,26,19,20,21
2,4,8,27,22,17,22
5,5,11,27,24,24,24
5,8,1,29,16,17,16
1,5,10,29,33,34,22
6,5,14,48,25,25,27
2,3,5,11,8,21,16
2,4,7,25,15,23,19
4,1,7,18,26,19,20
11,11,11,24,18,24,22
6,6,17,46,41,30,28
7,6,10,33,27,34,21
9,4,21,41,25,32,44
2,2,7,25,18,23,24
4,2,9,25,18,19,26
3,3,15,17,13,39,17
3,2,6,22,17,21,20
3,2,7,23,17,20,11
8,6,11,57,17,30,24
14,3,15,51,37,20,27
1,0,2,11,15,13,20
3,7,14,30,17,22,17
5,4,8,28,19,46,24
8,5,11,17,17,22,17
4,7,11,26,20,37,28
7,7,22,26,22,37,28
6,8,14,52,29,36,31
4,5,10,42,27,30,29
2,7,13,28,18,21,14
5,2,4,15,17,14,15
2,7,5,26,16,29,21
6,1,15,32,13,31,22
4,4,7,20,20,22,25
1,2,8,32,16,35,30
1,2,7,15,12,30,21
9,4,13,22,15,27,22
1,4,6,28,27,31,33
4,11,15,27,23,23,12
4,5,8,19,25,20,17
5,5,15,31,21,30,24
7,5,11,44,27,47,32
7,3,10,18,18,25,14
1,7,19,35,30,32,9
2,6,5,37,17,25,17
7,2,15,41,26,44,29
3,2,17,21,25,20,18
8,9,12,26,24,31,17
5,4,11,38,22,40,19
4,6,8,25,18,18,15
6,7,7,25,15,29,19
4,5,14,28,33,35,28
8,2,8,38,26,38,26
3,10,5,17,29,40,25
8,2,13,40,24,38,20
6,5,9,46,32,46,28
3,5,3,19,16,19,20
4,1,13,33,21,26,13
2,2,9,24,27,47,20
3,7,9,34,24,21,20
3,3,9,25,16,30,24
2,5,7,26,36,43,32
6,6,4,47,33,45,32
3,6,7,23,22,28,1
4,3,8,20,17,24,15
6,4,7,22,15,47,22
7,7,14,41,33,27,24
4,7,15,31,29,34,21
4,4,14,19,26,24,18
8,6,17,57,43,54,34
1,1,5,19,10,20,7
3,5,8,22,15,31,24
5,8,3,32,21,25,22
8,10,5,23,25,30,21
1,6,10,22,21,19,28
6,3,10,36,38,47,25
3,2,12,40,21,43,23
2,8,6,11,4,13,11
1,0,10,26,27,25,14
3,3,11,32,26,40,21
3,4,10,17,24,31,11
6,4,9,28,32,30,21
4,3,9,32,24,24,19
2,4,6,27,24,29,16
6,3,4,16,12,17,22
3,5,9,29,23,21,20
2,9,8,28,17,34,10
4,6,22,36,30,32,31
4,8,6,30,23,25,13
1,4,5,19,25,40,19
4,6,17,45,28,52,28
3,8,10,13,12,16,14
2,2,9,22,10,14,20
5,4,13,26,20,14,9
2,5,9,28,20,22,20
9,0,8,37,20,27,16
3,3,14,40,29,30,25
8,3,8,43,25,43,28
3,1,2,16,7,11,19
7,6,8,26,13,20,11
3,0,11,24,23,22,18
2,6,6,34,23,32,21
4,5,11,32,23,32,16
5,4,14,37,33,36,23
8,4,10,27,30,29,22
1,3,5,14,17,12,14
0,5,17,18,30,25,17
2,5,5,20,29,26,20
2,5,8,35,16,18,17
5,5,7,39,30,30,16
3,5,9,30,16,33,25
5,1,15,35,20,38,26
0,1,4,18,20,17,12
7,3,10,22,21,17,19
3,8,8,24,9,26,20
4,2,3,20,18,25,17
3,7,3,32,28,24,11
4,6,11,30,23,33,14
4,6,12,46,41,49,32
2,6,3,23,18,25,18
2,3,5,14,20,13,7
2,6,9,18,12,16,13
1,3,1,18,11,12,9
3,2,8,29,22,27,25
8,3,16,26,17,26,20
4,4,15,36,33,52,36
4,4,4,19,16,16,15
6,4,5,20,20,31,25
3,6,8,24,25,14,12
2,4,3,25,17,30,18
2,1,3,17,17,28,21
3,7,10,39,30,39,29
8,2,14,37,47,48,49
5,2,6,11,20,12,16
4,5,8,9,12,11,14
4,4,5,42,23,29,18
2,2,4,17,20,22,12
4,2,10,36,32,25,19
6,7,6,37,27,46,24
5,3,11,52,34,40,32
1,3,4,19,9,33,13
1,5,13,29,24,28,24
5,6,7,28,25,26,21
3,3,7,35,17,31,16
6,5,12,21,24,34,24
5,3,11,32,33,44,26
9,9,20,51,65,76,62
0,1,8,19,17,2,23
2,0,7,19,15,23,15
4,7,4,22,20,17,22
13,3,5,28,38,39,19
3,1,12,28,32,25,15
1,4,6,31,32,36,26
8,11,19,54,46,57,56
2,2,8,25,11,41,12
3,6,7,23,16,24,20
4,2,7,30,22,39,17
8,6,11,36,39,36,28
2,6,7,25,30,27,22
3,8,13,42,17,29,32
6,8,12,62,49,70,59
1,5,7,26,16,20,19
0,7,8,18,14,30,15
1,6,10,22,25,30,19
1,7,4,40,23,17,13
1,3,6,16,23,36,13
4,6,8,37,36,33,25
14,10,18,40,44,64,45
3,3,10,17,11,25,14
1,2,8,19,11,23,15
3,5,5,22,12,24,19
4,4,10,37,20,41,29
3,5,10,24,23,34,15
3,4,9,38,29,30,29
11,13,11,27,37,45,37
2,3,10,25,12,20,7
0,2,7,19,20,20,19
4,6,12,34,19,39,22
6,3,5,29,23,21,18
1,10,13,24,23,34,26
8,7,11,35,20,26,27
13,8,18,60,56,87,82
2,1,3,21,10,21,12
0,4,9,22,20,25,19
3,5,10,26,20,22,19
4,5,12,14,23,33,26
6,3,11,32,19,51,16
7,4,16,34,20,43,28
6,8,13,30,27,43,38
3,2,9,21,10,14,5
6,3,8,33,36,56,32
4,2,5,18,23,28,14
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,4,7,28,24,38,25
5,3,4,15,7,12,9
6,4,12,29,14,37,30
6,3,4,33,22,35,22
0,0,0,0,0,0,0
2,5,2,5,20,18,11
2,3,12,31,37,39,28
8,0,7,43,33,36,31
4,2,6,20,25,14,11
9,7,15,46,47,44,35
2,7,10,24,18,28,17
4,6,16,26,26,23,15
2,2,6,24,13,23,12
2,3,8,33,21,28,17
8,12,17,47,34,52,50
2,1,13,18,16,29,18
3,1,9,15,14,18,18
2,1,11,17,27,28,23
7,4,10,32,24,28,20
5,7,8,27,22,32,21
7,5,9,36,24,45,18
9,12,12,31,31,56,27
5,4,5,15,17,26,3
1,1,7,27,22,31,14
0,8,4,14,24,33,14
3,2,12,18,30,45,19
0,2,10,18,18,37,24
2,7,8,26,19,29,32
8,9,16,50,33,49,33
5,7,6,20,17,26,18
0,6,4,17,19,24,14
5,4,12,30,17,30,18
5,4,10,27,18,34,26
6,4,12,32,17,35,25
6,2,12,29,23,46,27
5,4,15,52,40,69,33
3,3,4,26,14,23,13
5,1,6,13,12,15,16
7,2,8,29,11,18,16
1,3,9,24,22,25,29
1,3,11,24,20,21,16
5,3,13,43,18,31,16
7,6,6,35,34,55,30
1,3,8,17,9,25,18
2,2,7,29,18,18,18
1,6,12,31,14,26,10
3,7,15,32,20,41,13
2,4,9,24,18,50,19
3,4,6,24,21,26,23
4,11,18,80,34,88,59
3,5,7,22,20,19,19
8,3,10,20,16,36,20
5,1,5,20,21,19,11
6,3,8,32,23,45,31
2,0,6,30,12,33,21
5,6,22,50,28,57,32
8,1,30,50,24,55,30
0,11,10,18,14,22,17
3,2,7,16,8,24,16
5,6,9,30,13,35,19
2,5,6,28,14,19,13
2,6,4,32,23,41,25
6,8,6,24,16,25,23
6,9,14,48,32,79,36
1,6,8,22,10,24,26
6,5,1,26,11,19,26
4,10,16,29,22,24,36
6,4,11,21,19,33,13
5,3,9,22,11,27,27
3,5,18,46,22,35,38
11,7,26,64,39,83,41
7,2,8,30,20,27,15
2,4,6,22,21,21,18
2,5,14,31,20,29,19
6,5,14,28,24,38,29
4,5,9,31,15,33,30
10,10,16,37,26,49,33
12,16,17,55,43,60,46
2,5,9,26,13,28,19
4,8,12,27,23,33,21
3,1,12,24,15,28,17
5,5,19,41,8,40,16
5,7,9,28,19,41,18
7,5,5,39,32,47,21
8,17,13,60,32,56,21
2,2,8,18,23,30,17
2,4,10,19,21,26,18
3,3,12,26,17,22,27
4,4,15,36,24,36,23
4,4,12,37,10,31,19
6,4,18,35,36,55,22
9,7,22,66,34,71,55
1,1,8,29,20,24,21
3,2,16,31,14,29,16
2,13,16,55,34,39,28
4,1,10,41,19,32,19
5,3,17,25,22,37,22
1,2,10,11,11,20,12
2,7,15,62,17,46,21
1,4,4,11,3,18,6
5,1,9,21,14,34,16
5,6,15,35,19,23,28
4,7,12,35,19,34,27
4,3,14,27,23,36,22
4,10,17,40,25,41,32
5,8,18,69,47,62,32
2,3,7,20,9,25,22
6,3,5,16,18,26,10
6,3,8,22,17,28,15
1,3,18,17,14,32,20
5,3,3,31,24,35,18
10,4,25,43,26,57,32
5,2,10,42,26,51,41
1,1,7,16,14,30,9
2,3,8,27,13,25,14
2,5,17,24,16,18,17
0,12,9,28,22,37,19
1,3,11,31,20,25,20
6,5,15,47,18,49,26
12,4,18,59,21,45,42
1,3,14,20,5,25,15
4,1,14,23,16,33,18
4,3,17,33,22,23,27
3,7,14,40,19,35,13
4,3,12,31,14,45,16
6,4,11,28,13,37,27
14,15,22,70,35,63,44
1,4,6,23,15,21,24
3,2,10,20,17,25,20
4,4,8,35,24,29,17
4,6,9,18,22,44,22
6,4,6,31,16,42,25
5,6,9,29,16,44,30
5,6,15,41,24,50,22
2,4,9,28,8,31,14
2,5,8,31,14,32,18
4,1,6,19,11,33,19
3,5,19,31,16,37,25
2,6,10,25,25,27,19
5,9,19,50,15,61,27
2,5,19,46,15,46,29
1,5,7,21,11,28,23
2,3,7,28,13,16,18
2,4,8,31,24,33,22
3,7,8,31,17,19,14
3,6,15,34,25,27,18
3,0,14,37,18,42,1
4,4,12,40,20,32,26
4,6,14,27,15,25,23
1,4,4,22,5,30,16
4,5,13,33,30,46,25
5,8,18,3,29,35,43
1,5,17,24,23,38,20
8,5,13,42,32,56,26
11,6,18,49,29,51,45
1,1,10,24,13,17,26
6,3,12,36,23,53,24
4,2,8,37,12,33,25
7,2,13,48,31,43,26
1,5,14,33,15,40,21
3,14,1,51,23,70,31
3,3,11,46,12,50,32
1,0,7,21,3,19,11
2,4,7,14,20,34,12
3,3,13,28,26,49,17
6,4,12,21,16,38,18
0,6,9,34,14,31,17
7,7,14,19,15,37,17
6,6,16,40,28,39,26
1,3,10,20,10,14,8
0,3,16,29,20,36,11
2,6,14,31,25,42,30
2,3,8,93,16,41,17
3,3,6,26,13,43,21
5,5,17,37,22,62,24
5,8,18,49,19,55,39
2,3,4,23,18,33,22
3,4,12,23,14,30,15
4,5,14,27,18,30,22
6,3,14,22,8,38,24
3,5,15,22,16,27,5
2,7,8,19,16,33,16
10,4,19,36,32,54,22
4,1,6,17,3,25,11
2,2,11,23,10,25,14
1,3,13,26,12,21,9
8,1,13,30,13,29,25
6,4,8,27,16,31,19
8,8,13,26,13,48,27
2,3,7,24,18,40,12
3,1,5,10,7,6,7
5,2,7,31,15,17,15
5,5,6,29,16,31,13
5,3,9,31,25,49,27
7,2,8,23,11,40,18
5,6,9,37,27,36,24
4,2,14,34,18,28,20
0,2,5,20,6,13,11
5,3,12,27,13,29,15
6,1,3,31,11,41,22
5,5,17,28,23,32,19
1,4,7,35,13,45,15
2,8,21,24,11,31,14
1,2,17,30,14,41,13
0,1,15,24,11,19,19
3,1,12,19,13,30,12
5,5,16,28,24,31,21
4,6,13,31,12,39,23
5,4,14,29,26,43,9
7,5,11,32,19,42,23
5,8,15,54,20,55,33
5,2,8,21,13,29,11
1,4,18,25,18,32,22
2,2,22,39,25,42,17
4,2,16,34,19,28,24
5,4,10,31,18,39,15
1,5,7,39,27,50,1
7,0,15,50,39,43,2
2,7,5,16,4,19,4
4,6,14,27,18,32,19
7,10,9,28,24,52,25
2,5,5,29,20,34,22
3,4,9,25,14,35,14
0,5,7,38,13,21,21
3,2,4,22,16,19,16
2,6,16,30,21,29,8
3,4,11,29,29,20,14
5,1,6,21,26,38,15
4,4,16,36,11,31,26
1,2,10,43,24,35,9
2,3,13,27,24,33,21
4,5,10,31,34,49,31
6,1,6,21,24,30,18
2,14,10,31,30,38,15
5,4,7,23,29,34,22
3,3,19,56,24,36,19
3,5,6,42,30,44,23
5,4,11,30,36,36,19
4,8,8,37,35,31,21
2,0,7,15,4,9,8
4,1,9,27,15,23,17
1,5,11,33,30,22,17
5,2,8,39,25,24,16
3,5,8,27,14,13,19
5,3,8,30,36,28,24
2,4,18,21,25,45,33
3,1,1,2,19,16,12
1,2,9,0,34,27,29
4,3,10,42,29,31,12
4,6,11,31,31,23,17
0,2,9,27,25,22,27
3,2,9,26,22,24,18
5,2,5,38,46,40,25
1,1,4,5,20,27,12
2,4,9,24,19,29,14
1,4,8,46,27,31,13
5,5,12,30,39,30,15
4,4,8,32,31,30,19
5,3,10,26,20,33,15
5,7,11,42,36,51,25
1,2,7,28,17,16,13
3,3,6,22,28,35,11
7,3,8,34,20,30,20
4,6,6,24,28,36,14
3,3,6,34,34,41,18
5,7,11,20,23,34,21
5,8,11,35,19,48,23
0,2,5,28,11,31,9
5,8,9,29,18,29,18
3,4,9,24,13,20,20
2,3,5,21,16,29,17
3,6,8,24,30,30,24
4,7,4,23,26,43,20
10,8,0,42,21,49,16
2,6,5,15,14,24,16
2,3,8,37,15,22,24
3,3,9,30,18,30,18
0,4,14,29,29,29,22
2,5,7,21,23,25,16
7,4,12,43,30,28,17
0,4,10,36,40,51,22
4,4,6,22,13,22,9
2,7,9,31,24,31,18
1,1,7,24,29,28,11
7,4,14,31,37,30,39
3,5,6,37,23,22,20
5,4,12,35,37,57,16
3,1,18,61,44,53,33
3,6,7,38,27,40,25
4,3,4,30,27,34,4
3,4,9,36,35,35,2
3,6,8,35,19,42,12
3,3,11,29,24,36,20
3,5,6,55,35,39,21
5,7,19,76,58,52,46
0,2,5,15,29,16,21
6,4,10,47,21,31,6
0,2,2,33,19,22,13
4,5,6,34,29,26,13
3,4,11,32,30,45,14
5,7,10,33,56,33,32
1,7,6,50,37,47,39
4,3,10,28,26,27,13
1,2,5,27,19,28,16
4,4,4,35,27,26,13
2,3,9,34,28,34,21
4,4,9,34,16,25,20
3,6,17,39,21,30,30
6,2,13,64,51,31,57
3,0,11,50,30,1,21
2,1,13,26,38,1,28
2,0,8,47,30,32,32
2,1,13,38,31,14,38
1,8,11,47,32,42,24
3,6,9,50,40,44,32
0,2,2,45,25,6,20
